CODIGO     QUANTIDADE  
      39839         321
      39844         123
       3378        21.2
       3348       23.12
      21136          32
      11270       423.2
      21130     324.435
      10615           1
      39129      234.23
      39133      42.234
      39144        5675
      12615         546
          1       3.234
      43065     231.312
         26    123.1223
         31      0.1231
      12863     213.123
         50     1231.12
         47     34.2341
         48     23.1231
         52   0.2131231
         43     0.53453
       4791      64.234
      37478       23.42
      37477     231.234
      37479      0.3242
       4319     234.223
      43064     3423.23
      40553        42.2
      13003       23.12
       6114        3.42
        248        3242
      41086         412
      34466         568
      41083      675.56
        252         567
      40909         567
      38547         558
      38469    45.45299
